feature_index,feature_name,importance_score
0,High_0,23.4
1,Low_0,23.425
2,Open_0,42.985
3,Volume_0,63.559
4,daily_return_0,23.814
5,log_return_0,23.697
6,volume_change_0,48.065
7,relative_volume_0,48.501
8,high_low_range_0,23.486
9,excess_return_0,22.683
10,daily_return_zscore_0,23.974
11,log_return_zscore_0,44.04
12,volume_change_zscore_0,43.817
13,relative_volume_zscore_0,36.027
14,log_volume_0,44.474
15,Close_1,23.706
16,High_1,35.781
17,Low_1,23.721
18,Open_1,35.746
19,Volume_1,55.653
20,daily_return_1,23.026
21,log_return_1,23.292
22,volume_change_1,41.611
23,relative_volume_1,23.952
24,high_low_range_1,23.812
25,excess_return_1,35.743
26,daily_return_zscore_1,22.998
27,log_return_zscore_1,23.879
28,volume_change_zscore_1,35.764
29,relative_volume_zscore_1,23.628
30,log_volume_1,23.639
31,Close_2,24.013
32,High_2,36.166
33,Low_2,35.49
34,Open_2,23.904
35,Volume_2,52.474
36,daily_return_2,35.757
37,log_return_2,23.835
38,volume_change_2,36.048
39,relative_volume_2,23.779
40,high_low_range_2,23.46
41,excess_return_2,22.958
42,daily_return_zscore_2,35.837
43,log_return_zscore_2,35.712
44,volume_change_zscore_2,42.282
45,relative_volume_zscore_2,23.825
46,log_volume_2,36.056
