index,subsequence_idx,score,start_date,end_date
98,98,2.38987,2023-04-27,2023-05-01
105,105,3.41321,2023-01-31,2023-02-02
120,120,3.04073,2023-07-25,2023-07-27
144,144,3.69573,2023-10-26,2023-10-30
156,156,3.57552,2023-12-13,2023-12-15
168,168,3.32778,2024-02-01,2024-02-05
