index,date,score,start_date,end_date
72,2023-05-02,3.85146,2023-05-02,2023-05-02
75,2023-05-05,2.56004,2023-05-05,2023-05-05
104,2023-06-16,3.22168,2023-06-16,2023-06-16
147,2023-08-18,3.7448,2023-08-18,2023-08-18
198,2023-10-31,2.76402,2023-10-31,2023-10-31
269,2024-02-13,2.86338,2024-02-13,2024-02-13
322,2024-04-30,3.78152,2024-04-30,2024-04-30
448,2024-10-29,3.21725,2024-10-29,2024-10-29
449,2024-10-30,2.58054,2024-10-30,2024-10-30
450,2024-10-31,2.6485,2024-10-31,2024-10-31
451,2024-11-01,2.65183,2024-11-01,2024-11-01
452,2024-11-04,2.72515,2024-11-04,2024-11-04
453,2024-11-05,2.68767,2024-11-05,2024-11-05
454,2024-11-06,3.02253,2024-11-06,2024-11-06
455,2024-11-07,3.03291,2024-11-07,2024-11-07
456,2024-11-08,3.06856,2024-11-08,2024-11-08
457,2024-11-11,3.3373,2024-11-11,2024-11-11
458,2024-11-12,3.28562,2024-11-12,2024-11-12
459,2024-11-13,3.27369,2024-11-13,2024-11-13
460,2024-11-14,4.28914,2024-11-14,2024-11-14
461,2024-11-15,4.31862,2024-11-15,2024-11-15
462,2024-11-18,3.16029,2024-11-18,2024-11-18
484,2024-12-19,2.94968,2024-12-19,2024-12-19
485,2024-12-20,3.64157,2024-12-20,2024-12-20
505,2025-01-23,3.0269,2025-01-23,2025-01-23
518,2025-02-11,3.74127,2025-02-11,2025-02-11
520,2025-02-13,2.96265,2025-02-13,2025-02-13
525,2025-02-21,2.96963,2025-02-21,2025-02-21
526,2025-02-24,2.76271,2025-02-24,2025-02-24
527,2025-02-25,2.5859,2025-02-25,2025-02-25
530,2025-02-28,2.75246,2025-02-28,2025-02-28
535,2025-03-07,2.96789,2025-03-07,2025-03-07
545,2025-03-21,3.80244,2025-03-21,2025-03-21
