window_index,start_date,end_date,iforest_score,lof_score
0,2025-02-28,2025-03-04,2.1544700452298975,0.4615789949778425
1,2025-03-03,2025-03-05,0.7818149348142566,0.2124451493256454
2,2025-03-04,2025-03-06,0.1476935399287345,0.11648347256851599
3,2025-03-05,2025-03-07,0.12140465000738637,0.23381833177471556
4,2025-03-06,2025-03-10,1.25854003692864,0.2146773628437891
5,2025-03-07,2025-03-11,0.35139877446629236,-0.5748145361086254
6,2025-03-10,2025-03-12,0.02018778545208839,-0.515121787400504
7,2025-03-11,2025-03-13,-1.6804314027492027,-0.5644399591885604
8,2025-03-12,2025-03-14,-0.6739244393485792,-0.535735547214812
9,2025-03-13,2025-03-17,-1.0459057522368824,-1.345476858380905
10,2025-03-14,2025-03-18,-0.20704659982338536,-1.0728389874321074
11,2025-03-17,2025-03-19,-1.0209067592125094,-0.9366041442750023
12,2025-03-18,2025-03-20,-1.3052301563932855,-1.0355546970967542
13,2025-03-19,2025-03-21,-0.5944841612811116,1.7264322228995073
14,2025-03-20,2025-03-24,0.6782522790180624,1.8075754913536057
15,2025-03-21,2025-03-25,1.0141672251995961,1.8075754913536057
