window_index,anomaly_score,start_date,end_date,top_anomalous_stocks
14,1.657054469334348,2023-12-14,2023-12-18,"LLY (0.0274), AMZN (0.0191), MSFT (0.0187)"
16,1.934861324253878,2023-12-18,2023-12-20,"NVDA (0.0274), AMZN (0.0200), META (0.0162)"
