index,subsequence_idx,score
9,9,2.3055
21,21,1.88674
22,22,1.90749
39,39,2.18044
40,40,1.86452
50,50,1.88858
73,73,2.13689
74,74,2.07625
90,90,2.18648
120,120,2.27075
133,133,1.83903
134,134,2.04811
135,135,2.485
137,137,2.00379
138,138,1.89485
209,209,2.0546
216,216,2.25953
217,217,2.46074
218,218,2.08311
277,277,2.03998
300,300,1.85048
310,310,2.12665
361,361,1.91214
400,400,1.99224
410,410,2.4624
411,411,2.13561
412,412,2.17718
436,436,2.09784
437,437,2.09682
450,450,2.31947
451,451,2.32036
452,452,2.79595
473,473,2.02669
500,500,1.91649
512,512,1.89218
513,513,1.93373
