index,date,score,start_date,end_date
51,2023-03-31,3.41062,2023-03-31,2023-03-31
92,2023-05-31,5.18136,2023-05-31,2023-05-31
98,2023-06-08,3.15038,2023-06-08,2023-06-08
99,2023-06-09,3.31285,2023-06-09,2023-06-09
137,2023-08-04,2.92875,2023-08-04,2023-08-04
215,2023-11-24,2.76949,2023-11-24,2023-11-24
270,2024-02-14,3.63651,2024-02-14,2024-02-14
271,2024-02-15,3.37486,2024-02-15,2024-02-15
280,2024-02-29,3.15727,2024-02-29,2024-02-29
358,2024-06-21,2.80254,2024-06-21,2024-06-21
384,2024-07-30,2.50349,2024-07-30,2024-07-30
385,2024-07-31,2.4884,2024-07-31,2024-07-31
387,2024-08-02,2.51576,2024-08-02,2024-08-02
388,2024-08-05,2.6524,2024-08-05,2024-08-05
412,2024-09-09,2.7867,2024-09-09,2024-09-09
420,2024-09-19,2.90995,2024-09-19,2024-09-19
421,2024-09-20,4.55705,2024-09-20,2024-09-20
450,2024-10-31,2.72212,2024-10-31,2024-10-31
460,2024-11-14,2.79771,2024-11-14,2024-11-14
482,2024-12-17,2.76725,2024-12-17,2024-12-17
485,2024-12-20,5.05975,2024-12-20,2024-12-20
487,2024-12-24,2.62954,2024-12-24,2024-12-24
520,2025-02-13,2.59383,2025-02-13,2025-02-13
530,2025-02-28,2.9576,2025-02-28,2025-02-28
545,2025-03-21,4.94755,2025-03-21,2025-03-21
