index,date,score,start_date,end_date
41,2023-03-17,3.9273,2023-03-17,2023-03-17
74,2023-05-04,3.04507,2023-05-04,2023-05-04
92,2023-05-31,5.3238,2023-05-31,2023-05-31
166,2023-09-15,3.88451,2023-09-15,2023-09-15
205,2023-11-09,2.51083,2023-11-09,2023-11-09
219,2023-11-30,5.42249,2023-11-30,2023-11-30
220,2023-12-01,2.93562,2023-12-01,2023-12-01
228,2023-12-13,3.13996,2023-12-13,2023-12-13
230,2023-12-15,3.88985,2023-12-15,2023-12-15
291,2024-03-15,4.00511,2024-03-15,2024-03-15
329,2024-05-09,3.02709,2024-05-09,2024-05-09
330,2024-05-10,4.15909,2024-05-10,2024-05-10
335,2024-05-17,2.94147,2024-05-17,2024-05-17
344,2024-05-31,3.26333,2024-05-31,2024-05-31
385,2024-07-31,2.96593,2024-07-31,2024-07-31
388,2024-08-05,2.54028,2024-08-05,2024-08-05
412,2024-09-09,2.90073,2024-09-09,2024-09-09
413,2024-09-10,2.85307,2024-09-10,2024-09-10
421,2024-09-20,3.53834,2024-09-20,2024-09-20
467,2024-11-25,2.93886,2024-11-25,2024-11-25
485,2024-12-20,3.40609,2024-12-20,2024-12-20
487,2024-12-24,2.66137,2024-12-24,2024-12-24
545,2025-03-21,3.13438,2025-03-21,2025-03-21
