window_index,start_date,end_date,iforest_score,lof_score
0,2024-08-30,2024-09-04,0.43233931437625656,0.40184108940036883
1,2024-09-03,2024-09-05,0.7058927329531165,0.37179006266942777
2,2024-09-04,2024-09-06,1.1485848420750608,0.38584381494437375
3,2024-09-05,2024-09-09,1.5179401524158764,0.39645786198478944
4,2024-09-06,2024-09-10,2.175420444628888,0.13209438926255945
5,2024-09-09,2024-09-11,1.2196701956313651,0.30094433979050456
6,2024-09-10,2024-09-12,0.709109664293601,0.31445306523635674
7,2024-09-11,2024-09-13,0.525698379167221,0.37141921004898376
8,2024-09-12,2024-09-16,-1.298664702551127,0.37397082532884696
9,2024-09-13,2024-09-17,-0.8924405646423742,0.37564619051209525
10,2024-09-16,2024-09-18,-1.2817567365852272,0.38457077772009834
11,2024-09-17,2024-09-19,-0.34866984152451974,0.3584683008722402
12,2024-09-18,2024-09-20,1.0491378146128625,-2.5341918405616393
13,2024-09-19,2024-09-23,1.1464285028719496,-2.9093209863964438
14,2024-09-20,2024-09-24,0.7981649338580415,-2.8398924152852203
15,2024-09-23,2024-09-25,-0.14534178341231782,0.3866629973873092
16,2024-09-24,2024-09-26,-1.3695804933754114,0.3693267466009815
17,2024-09-25,2024-09-27,-1.0585505111319917,0.3661039427611556
18,2024-09-26,2024-09-30,-0.9570208657967845,0.36950161265765474
19,2024-09-27,2024-10-01,-0.7292065537183173,0.3815570830315277
20,2024-09-30,2024-10-02,-1.193764595207276,0.3762999914636367
21,2024-10-01,2024-10-03,-0.015076703037877606,0.35807591732721383
22,2024-10-02,2024-10-04,-0.8768398541604588,0.3808541555808908
23,2024-10-03,2024-10-07,-0.7834944308527605,0.3776085993598725
24,2024-10-04,2024-10-08,-0.18714009423974942,0.38062277157923813
25,2024-10-07,2024-10-09,-0.2908392466480474,0.36929149672316736
