index,subsequence_idx,score
307,307,2.76773
308,308,2.54932
309,309,2.51456
483,483,2.81625
484,484,2.80551
485,485,2.83749
495,495,3.90273
496,496,3.98891
497,497,3.76436
498,498,3.09052
501,501,2.56112
502,502,2.43928
503,503,2.43669
510,510,2.86922
511,511,2.66576
512,512,2.66037
516,516,2.40003
520,520,3.29189
521,521,3.209
522,522,3.343
523,523,2.74606
524,524,2.77356
525,525,2.69984
526,526,2.88182
527,527,2.76059
528,528,2.7078
533,533,2.66729
534,534,2.54493
535,535,2.62923
536,536,2.42997
543,543,3.37061
544,544,3.26635
545,545,3.33971
