index,subsequence_idx,score
5,5,2.42945
6,6,2.48506
52,52,2.79895
53,53,3.001
54,54,2.69955
247,247,2.73887
248,248,3.00924
249,249,2.71667
399,399,3.21773
400,400,3.85742
402,402,3.89065
403,403,3.44561
427,427,2.89769
428,428,3.04116
429,429,2.56178
464,464,2.80492
465,465,3.03933
466,466,2.9487
473,473,2.47695
474,474,2.46953
494,494,2.94113
495,495,3.1671
496,496,2.91024
514,514,2.82889
515,515,3.11315
516,516,2.92148
