window_index,start_date,end_date,iforest_score,lof_score
0,2023-11-06,2023-11-08,-1.1963915552612703,0.46599640594510067
1,2023-11-07,2023-11-09,-1.1249391745773905,0.4181624226169726
2,2023-11-08,2023-11-10,-0.09000159205219244,0.46883962402761004
3,2023-11-09,2023-11-13,0.0038499050179523916,0.3598957427363385
4,2023-11-10,2023-11-14,1.128502568333013,0.35487974830692726
5,2023-11-13,2023-11-15,0.7545139102822389,0.2908823028666796
6,2023-11-14,2023-11-16,0.43143008181872566,0.239859358059477
7,2023-11-15,2023-11-17,-1.8625500007612865,0.4406355245153899
8,2023-11-16,2023-11-20,-1.7628787296605513,0.36180611700261844
9,2023-11-17,2023-11-21,-0.0681817169079508,0.4239696473281988
10,2023-11-20,2023-11-22,-0.6801301005486364,0.5047428371705538
11,2023-11-21,2023-11-24,0.542252101467261,0.4887582276292149
12,2023-11-22,2023-11-27,2.2559641750397432,-3.081700092819432
13,2023-11-24,2023-11-28,1.7950905541823674,-2.794416663248426
14,2023-11-27,2023-11-29,0.18895047199761866,-2.331255928258171
15,2023-11-28,2023-11-30,-1.242665242886992,0.20562646497508053
16,2023-11-29,2023-12-01,0.26784862387080877,0.20472697395541462
17,2023-11-30,2023-12-04,0.10454151034487563,0.137375402718166
18,2023-12-01,2023-12-05,0.16688791966430075,0.42808783823518015
19,2023-12-04,2023-12-06,0.10332167578527804,0.41404640440441154
20,2023-12-05,2023-12-07,1.1248033044178583,0.5019665356897629
21,2023-12-06,2023-12-08,-0.49356029394280393,0.3184735336714479
22,2023-12-07,2023-12-11,0.06401729870777638,0.03503987905086759
23,2023-12-08,2023-12-12,-0.9807942690795409,0.34342182618754796
24,2023-12-11,2023-12-13,-0.5142547868797862,0.37516398802725115
25,2023-12-12,2023-12-14,1.0843733616285751,0.42501587920582634
