index,date,score,start_date,end_date
10,2023-02-01,2.67256,2023-02-01,2023-02-01
11,2023-02-02,4.38704,2023-02-02,2023-02-02
13,2023-02-06,2.69989,2023-02-06,2023-02-06
32,2023-03-06,2.99951,2023-03-06,2023-03-06
69,2023-04-27,3.57563,2023-04-27,2023-04-27
87,2023-05-23,2.38488,2023-05-23,2023-05-23
131,2023-07-27,4.90683,2023-07-27,2023-07-27
132,2023-07-28,3.22898,2023-07-28,2023-07-28
160,2023-09-07,2.4059,2023-09-07,2023-09-07
194,2023-10-25,2.68924,2023-10-25,2023-10-25
195,2023-10-26,4.47052,2023-10-26,2023-10-26
196,2023-10-27,3.92209,2023-10-27,2023-10-27
197,2023-10-30,3.9917,2023-10-30,2023-10-30
200,2023-11-02,2.62594,2023-11-02,2023-11-02
201,2023-11-03,2.97215,2023-11-03,2023-11-03
229,2023-12-14,4.21503,2023-12-14,2023-12-14
230,2023-12-15,4.70367,2023-12-15,2023-12-15
261,2024-02-01,4.72161,2024-02-01,2024-02-01
319,2024-04-25,2.63528,2024-04-25,2024-04-25
381,2024-07-25,2.86462,2024-07-25,2024-07-25
445,2024-10-24,2.68542,2024-10-24,2024-10-24
515,2025-02-06,3.27883,2025-02-06,2025-02-06
532,2025-03-04,2.69203,2025-03-04,2025-03-04
536,2025-03-10,2.4405,2025-03-10,2025-03-10
537,2025-03-11,2.40155,2025-03-11,2025-03-11
538,2025-03-12,2.67808,2025-03-12,2025-03-12
545,2025-03-21,2.66923,2025-03-21,2025-03-21
