index,date,score,start_date,end_date
10,2023-02-01,3.61236,2023-02-01,2023-02-01
11,2023-02-02,5.02333,2023-02-02,2023-02-02
12,2023-02-03,4.05035,2023-02-03,2023-02-03
13,2023-02-06,2.59934,2023-02-06,2023-02-06
14,2023-02-07,2.91274,2023-02-07,2023-02-07
28,2023-02-28,2.96451,2023-02-28,2023-02-28
31,2023-03-03,2.91141,2023-03-03,2023-03-03
38,2023-03-14,2.59959,2023-03-14,2023-03-14
39,2023-03-15,2.54413,2023-03-15,2023-03-15
40,2023-03-16,3.05533,2023-03-16,2023-03-16
41,2023-03-17,3.02289,2023-03-17,2023-03-17
68,2023-04-26,2.57123,2023-04-26,2023-04-26
69,2023-04-27,3.84348,2023-04-27,2023-04-27
70,2023-04-28,2.70188,2023-04-28,2023-04-28
104,2023-06-16,2.6412,2023-06-16,2023-06-16
108,2023-06-23,3.13475,2023-06-23,2023-06-23
116,2023-07-06,2.87596,2023-07-06,2023-07-06
127,2023-07-21,2.65969,2023-07-21,2023-07-21
130,2023-07-26,2.93568,2023-07-26,2023-07-26
131,2023-07-27,3.7689,2023-07-27,2023-07-27
132,2023-07-28,2.63796,2023-07-28,2023-07-28
194,2023-10-25,2.54441,2023-10-25,2023-10-25
195,2023-10-26,3.85223,2023-10-26,2023-10-26
262,2024-02-02,4.22563,2024-02-02,2024-02-02
263,2024-02-05,2.6047,2024-02-05,2024-02-05
319,2024-04-25,4.17642,2024-04-25,2024-04-25
320,2024-04-26,2.58644,2024-04-26,2024-04-26
322,2024-04-30,2.57056,2024-04-30,2024-04-30
323,2024-05-01,2.56664,2024-05-01,2024-05-01
386,2024-08-01,2.63373,2024-08-01,2024-08-01
485,2024-12-20,3.09106,2024-12-20,2024-12-20
