feature_index,feature_name,importance_score
0,feature_0,6.845
1,feature_1,9.445
2,feature_2,9.436
3,feature_3,9.558
4,feature_4,6.815
5,feature_5,6.865
6,feature_6,9.35
7,feature_7,9.503
8,feature_8,9.473
9,feature_9,9.592
10,feature_10,9.479
11,feature_11,6.77
12,feature_12,9.466
13,feature_13,6.801
14,feature_14,9.698
