index,subsequence_idx,score
5,5,2.46773
6,6,2.4522
10,10,2.49459
74,74,2.59465
75,75,2.47091
144,144,2.98627
145,145,3.02875
147,147,2.75875
211,211,2.78439
213,213,2.79855
214,214,2.68786
292,292,2.49544
293,293,2.61445
294,294,2.54387
301,301,2.70334
312,312,2.45779
323,323,3.33552
335,335,3.16481
346,346,3.21146
356,356,2.69994
358,358,2.79416
359,359,2.70237
427,427,2.9902
428,428,2.94023
429,429,3.11097
480,480,2.52313
484,484,2.4697
485,485,2.55031
494,494,3.22728
495,495,3.12604
496,496,3.11501
