index,date,score,start_date,end_date
11,2023-02-02,3.80938,2023-02-02,2023-02-02
74,2023-05-04,3.68887,2023-05-04,2023-05-04
92,2023-05-31,2.75639,2023-05-31,2023-05-31
104,2023-06-16,4.96401,2023-06-16,2023-06-16
108,2023-06-23,2.88911,2023-06-23,2023-06-23
136,2023-08-03,2.9114,2023-08-03,2023-08-03
145,2023-08-16,2.98063,2023-08-16,2023-08-16
193,2023-10-24,2.50901,2023-10-24,2023-10-24
196,2023-10-27,2.56376,2023-10-27,2023-10-27
199,2023-11-01,2.94429,2023-11-01,2023-11-01
200,2023-11-02,2.34173,2023-11-02,2023-11-02
230,2023-12-15,2.81999,2023-12-15,2023-12-15
261,2024-02-01,3.54608,2024-02-01,2024-02-01
264,2024-02-06,2.82341,2024-02-06,2024-02-06
320,2024-04-26,2.9596,2024-04-26,2024-04-26
344,2024-05-31,2.37887,2024-05-31,2024-05-31
356,2024-06-18,3.29505,2024-06-18,2024-06-18
357,2024-06-20,4.20907,2024-06-20,2024-06-20
358,2024-06-21,2.93589,2024-06-21,2024-06-21
363,2024-06-28,2.97469,2024-06-28,2024-06-28
421,2024-09-20,2.93393,2024-09-20,2024-09-20
450,2024-10-31,2.9771,2024-10-31,2024-10-31
474,2024-12-05,3.58984,2024-12-05,2024-12-05
485,2024-12-20,3.99949,2024-12-20,2024-12-20
497,2025-01-10,2.35203,2025-01-10,2025-01-10
510,2025-01-30,2.43292,2025-01-30,2025-01-30
513,2025-02-04,3.95751,2025-02-04,2025-02-04
514,2025-02-05,2.531,2025-02-05,2025-02-05
545,2025-03-21,2.72237,2025-03-21,2025-03-21
