index,date,score,start_date,end_date
2,2023-01-20,3.1641,2023-01-20,2023-01-20
11,2023-02-02,2.65514,2023-02-02,2023-02-02
15,2023-02-08,4.07476,2023-02-08,2023-02-08
16,2023-02-09,4.48132,2023-02-09,2023-02-09
17,2023-02-10,2.88215,2023-02-10,2023-02-10
18,2023-02-13,2.43364,2023-02-13,2023-02-13
19,2023-02-14,2.49528,2023-02-14,2023-02-14
40,2023-03-16,3.06827,2023-03-16,2023-03-16
41,2023-03-17,4.19339,2023-03-17,2023-03-17
78,2023-05-10,2.7778,2023-05-10,2023-05-10
79,2023-05-11,3.14457,2023-05-11,2023-05-11
92,2023-05-31,2.43633,2023-05-31,2023-05-31
104,2023-06-16,3.14862,2023-06-16,2023-06-16
127,2023-07-21,3.13892,2023-07-21,2023-07-21
130,2023-07-26,2.66081,2023-07-26,2023-07-26
166,2023-09-15,2.79819,2023-09-15,2023-09-15
194,2023-10-25,3.25297,2023-10-25,2023-10-25
230,2023-12-15,3.28253,2023-12-15,2023-12-15
260,2024-01-31,2.60045,2024-01-31,2024-01-31
262,2024-02-02,2.42157,2024-02-02,2024-02-02
282,2024-03-04,2.53135,2024-03-04,2024-03-04
291,2024-03-15,2.51802,2024-03-15,2024-03-15
292,2024-03-18,2.8339,2024-03-18,2024-03-18
320,2024-04-26,3.13993,2024-04-26,2024-04-26
358,2024-06-21,3.29113,2024-06-21,2024-06-21
388,2024-08-05,2.45872,2024-08-05,2024-08-05
421,2024-09-20,2.69456,2024-09-20,2024-09-20
449,2024-10-30,2.88341,2024-10-30,2024-10-30
465,2024-11-21,2.56786,2024-11-21,2024-11-21
478,2024-12-11,2.5405,2024-12-11,2024-12-11
485,2024-12-20,2.65115,2024-12-20,2024-12-20
513,2025-02-04,2.66279,2025-02-04,2025-02-04
514,2025-02-05,2.55638,2025-02-05,2025-02-05
