index,subsequence_idx,score
2,2,1.85339
21,21,2.22774
22,22,2.58959
23,23,2.19444
36,36,1.93485
37,37,2.00338
38,38,2.10905
39,39,2.01137
82,82,2.2069
83,83,2.55196
84,84,2.11602
136,136,1.95735
143,143,2.1719
144,144,2.24924
145,145,2.09585
179,179,1.89616
208,208,3.14156
209,209,2.68251
228,228,2.48391
271,271,1.86546
315,315,1.87497
316,316,2.04468
332,332,2.1092
359,359,1.96568
360,360,1.88888
380,380,2.07979
419,419,1.8663
420,420,1.99127
450,450,1.89539
481,481,2.20107
482,482,2.03342
483,483,1.92857
522,522,2.49726
523,523,1.88073
