window_index,start_date,end_date,iforest_score,lof_score
0,2024-10-16,2024-10-18,-1.113159045891156,0.5345316953220227
1,2024-10-17,2024-10-21,-0.8805794162042326,0.4992452407133548
2,2024-10-18,2024-10-22,-1.012068129387164,0.5045643934500181
3,2024-10-21,2024-10-23,-0.2373603656844557,0.49221189754167766
4,2024-10-22,2024-10-24,-0.7231216212423676,0.5621842321028311
5,2024-10-23,2024-10-25,-0.4612216910523039,0.49261136876747186
6,2024-10-24,2024-10-28,-0.7741962386801073,0.5163572451852738
7,2024-10-25,2024-10-29,-0.8392848178046837,0.49448271311288433
8,2024-10-28,2024-10-30,0.20790057794755884,-1.9682986003098677
9,2024-10-29,2024-10-31,1.3203886234830902,-2.366529097932498
10,2024-10-30,2024-11-01,0.5934970397551547,-2.5226203594255066
11,2024-10-31,2024-11-04,1.1510712426716796,0.5446855357114807
12,2024-11-01,2024-11-05,-0.33074167659352327,0.5501603021660478
13,2024-11-04,2024-11-06,2.3516727995447226,-1.2478333949199745
14,2024-11-05,2024-11-07,2.019077634866601,-1.3386555479385458
15,2024-11-06,2024-11-08,1.6720027801530484,-1.460828183523904
16,2024-11-07,2024-11-11,0.11480850596450098,0.5292967658083865
17,2024-11-08,2024-11-12,-0.699935020148448,0.514770697223386
18,2024-11-11,2024-11-13,-0.9957768406898047,0.5153159882799052
19,2024-11-12,2024-11-14,-1.1804927097909197,0.47285537089224783
20,2024-11-13,2024-11-15,-0.3175516533644661,0.49359929018740273
21,2024-11-14,2024-11-18,-0.1224619197346874,0.48636254942893875
22,2024-11-15,2024-11-19,-0.025894370849276146,0.49631946437581836
23,2024-11-18,2024-11-20,-1.1112254950464715,0.5310747152725637
24,2024-11-19,2024-11-21,0.02644842975206196,0.5442004900073131
25,2024-11-20,2024-11-22,0.08689670298458092,0.554966483641002
26,2024-11-21,2024-11-25,1.2813066750410789,0.5749687448602931
