index,window_idx,stock_idx,ticker,score,start_date,end_date
0,29,,,34.0466,2023-05-23,2023-05-25
1,76,,,35.6577,2023-12-13,2023-12-15
2,80,,,36.1566,2024-01-02,2024-01-04
3,101,,,34.3218,2024-04-03,2024-04-05
4,105,,,34.0875,2024-04-19,2024-04-23
5,114,,,34.8975,2024-05-29,2024-05-31
6,125,,,34.8175,2024-07-17,2024-07-19
7,129,,,33.9786,2024-08-02,2024-08-06
8,136,,,33.3794,2024-09-03,2024-09-05
9,150,,,33.4948,2024-10-31,2024-11-04
10,151,,,33.963,2024-11-05,2024-11-07
11,161,,,35.5322,2024-12-18,2024-12-20
12,165,,,33.4641,2025-01-07,2025-01-10
