index,subsequence_idx,score
8,8,2.25986
27,27,1.98689
28,28,2.251
39,39,2.3644
40,40,2.44482
49,49,1.91181
59,59,1.86199
60,60,1.95736
70,70,2.27623
88,88,1.87558
116,116,2.20239
126,126,1.92318
127,127,1.95637
129,129,1.94421
156,156,1.92467
164,164,1.86404
179,179,1.95856
224,224,2.84718
244,244,2.17686
273,273,1.97211
274,274,1.9579
302,302,2.03754
303,303,2.1574
304,304,1.90799
307,307,1.9692
308,308,2.06611
309,309,2.41693
384,384,2.71101
385,385,2.03893
401,401,2.13879
448,448,2.59653
465,465,2.14913
493,493,1.88448
500,500,2.17675
505,505,3.13138
506,506,2.54265
520,520,1.95824
543,543,2.11486
544,544,1.91743
545,545,2.2208
