index,subsequence_idx,score
17,17,2.0104
18,18,1.91826
30,30,2.59352
31,31,2.37889
35,35,2.99763
36,36,2.69304
37,37,2.38759
66,66,2.13532
67,67,2.24523
68,68,1.84369
69,69,1.93375
146,146,2.19508
165,165,2.17731
168,168,2.09662
169,169,1.95347
204,204,1.98014
206,206,1.86845
228,228,2.49621
229,229,2.89366
250,250,2.06356
251,251,1.8848
258,258,2.68668
259,259,2.52276
260,260,1.90393
313,313,2.33231
332,332,1.94554
334,334,2.00784
343,343,1.87535
357,357,2.51927
409,409,2.17084
410,410,1.91412
419,419,2.54176
420,420,2.71701
421,421,2.33004
440,440,2.03504
441,441,2.02791
471,471,2.27357
477,477,2.0342
481,481,2.12561
506,506,1.96043
530,530,2.1967
531,531,2.55456
534,534,1.92688
535,535,1.94892
