index,subsequence_idx,score
25,25,2.49845
26,26,2.74472
27,27,2.7791
95,95,2.42998
96,96,2.80793
97,97,2.82073
233,233,2.57924
234,234,2.85005
236,236,2.97953
257,257,2.46957
268,268,3.30686
279,279,3.49154
290,290,3.46943
301,301,3.43888
312,312,3.30602
323,323,3.42698
335,335,3.32595
346,346,3.30739
349,349,2.72772
350,350,2.71543
357,357,2.62678
379,379,2.69772
390,390,2.71462
393,393,2.50225
394,394,2.80061
395,395,2.5895
401,401,2.57183
427,427,2.6975
428,428,2.95438
429,429,3.06654
485,485,2.46142
500,500,3.27123
501,501,3.42051
503,503,3.31792
