index,subsequence_idx,score
8,8,1.96556
11,11,2.04907
23,23,2.20868
29,29,2.30307
50,50,2.81166
54,54,2.87121
63,63,2.24249
73,73,2.49231
75,75,2.11096
95,95,2.13063
101,101,2.10624
128,128,1.87842
137,137,2.36934
