index,stock_idx,time_period,stock_ticker,score
21,1,2,TECH,2.7069626695365465
22,2,2,HAL,2.377593727191571
25,5,2,LLY,3.274911338566509
39,9,3,ORCL,4.384966672416849
49,9,4,ORCL,3.712729055800751
59,9,5,ORCL,2.336011940568288
131,1,13,TECH,2.6865973025712595
135,5,13,LLY,2.7156420993219204
192,2,19,HAL,4.038611991404797
202,2,20,HAL,3.3653630104085424
212,2,21,HAL,3.9336323125739976
241,1,24,TECH,2.9055724110442456
283,3,28,STZ,2.526405762573486
293,3,29,STZ,2.237381584745728
301,1,30,TECH,2.227551131460529
303,3,30,STZ,2.189210261425389
311,1,31,TECH,2.203502913078731
338,8,33,ALLE,2.5867924695567277
348,8,34,ALLE,3.1846219033081935
351,1,35,TECH,2.451581908957093
367,7,36,DLR,2.5562920220132934
368,8,36,ALLE,2.6229638244652045
394,4,39,BG,2.1668553880600765
435,5,43,LLY,4.3997269180351335
445,5,44,LLY,4.570878025731774
455,5,45,LLY,3.922134320827391
559,9,55,ORCL,2.2939370560236805
569,9,56,ORCL,4.068074964635877
576,6,57,NWS,2.5427485138517625
589,9,58,ORCL,4.233627926730181
686,6,68,NWS,2.7827274302942264
709,9,70,ORCL,3.384077964722575
719,9,71,ORCL,3.457826164318692
729,9,72,ORCL,3.1974892265968813
796,6,79,NWS,2.8675425500794245
976,6,97,NWS,2.3148023911123605
1009,9,100,ORCL,2.881044525586206
1029,9,102,ORCL,2.7343122546000855
1039,9,103,ORCL,2.419697610378853
1071,1,107,TECH,3.969667627311028
1081,1,108,TECH,5.194324195606849
1091,1,109,TECH,5.568536374074721
1098,8,109,ALLE,2.3231742399848043
1101,1,110,TECH,4.565932100379656
1111,1,111,TECH,4.358654260514369
1141,1,114,TECH,2.826986232081149
1145,5,114,LLY,2.873144240208609
1165,5,116,LLY,2.935387810713697
1175,5,117,LLY,3.4613779268713993
1185,5,118,LLY,2.742741261095929
1195,5,119,LLY,3.042292009837631
1215,5,121,LLY,2.4108610049435497
1398,8,139,ALLE,2.955693328751319
1408,8,140,ALLE,2.3532832607629652
1419,9,141,ORCL,3.441077050891158
1421,1,142,TECH,2.3719448761946142
1429,9,142,ORCL,2.882039501322447
1431,1,143,TECH,2.9479849772838005
1438,8,143,ALLE,2.7897861541708098
1439,9,143,ORCL,2.6806518414402882
1441,1,144,TECH,2.6166571726262946
1448,8,144,ALLE,2.3700501478599145
1458,8,145,ALLE,2.178885589024537
1561,1,156,TECH,2.181891252156898
1772,2,177,HAL,2.4090668390849297
1801,1,180,TECH,3.4018131909146367
